,0
UNITED STATES,15.544124313425872
UNITED KINGDOM,12.512851213672944
JAPAN,12.386271116838925
FRANCE,12.321328044959452
CANADA,12.308164324357548
GERMANY,12.059982723658255
ITALY,11.73573295982379
BRAZIL,11.380958562178737
SPAIN,11.054281074590582
AUSTRALIA,11.006224655781187
